"","Date","Household","Government"
"1",1990-01-01,51.4130082898799,69.7529222693691
"2",1990-04-01,52.3107310846089,71.0643968580728
"3",1990-07-01,53.1097172932158,72.6950883207871
"4",1990-10-01,53.9948734729494,75.7975394966474
"5",1991-01-01,55.0990766677041,78.7195536650874
"6",1991-04-01,55.246931177413,79.810767818556
"7",1991-07-01,55.9327805492653,82.1827876435167
"8",1991-10-01,56.6025107681162,84.9116193775152
"9",1992-01-01,56.9918930490924,83.5452558281034
"10",1992-04-01,57.146614731988,87.2208790839797
"11",1992-07-01,57.3897680348086,88.0984119945681
"12",1992-10-01,57.7529931310598,88.6171652010361
"13",1993-01-01,58.3286100453436,92.4353363707708
"14",1993-04-01,57.6392615648814,95.0519212192766
"15",1993-07-01,57.8256904707306,96.2728712596725
"16",1993-10-01,58.1434641418721,98.3720979271662
"17",1994-01-01,57.8586071938871,94.9942794723654
"18",1994-04-01,57.8946226679938,94.0780440497154
"19",1994-07-01,57.0164988311455,93.1725658854323
"20",1994-10-01,57.1319506455448,94.4402235849569
"21",1995-01-01,57.1536411431456,95.1926764501706
"22",1995-04-01,57.3772766318878,97.7537714633181
"23",1995-07-01,57.7560457924358,98.4994765755556
"24",1995-10-01,58.1109340058048,96.5684921730028
"25",1996-01-01,58.3670138165002,100.258704016072
"26",1996-04-01,58.4249810060687,99.1646187613143
"27",1996-07-01,58.5365233001444,100.140420846134
"28",1996-10-01,58.3692234071643,100.180020052867
"29",1997-01-01,58.3588637148612,97.4907709352866
"30",1997-04-01,58.905929651817,95.6562732096081
"31",1997-07-01,58.5044994104523,93.274773057013
"32",1997-10-01,59.2121041580987,93.8478105586701
"33",1998-01-01,59.5382896859873,93.4788981951869
"34",1998-04-01,60.8486631908059,93.4359268272862
"35",1998-07-01,61.6381146737787,92.0212765957447
"36",1998-10-01,61.6147314723921,92.3491026705933
"37",1999-01-01,61.1896558795784,87.7888519748985
"38",1999-04-01,60.7135385023919,84.1133123845773
"39",1999-07-01,60.0832461901797,81.5884140729339
"40",1999-10-01,59.4862764988645,80.0280118502807
"41",2000-01-01,58.5557864599491,77.6881258246215
"42",2000-04-01,58.6404268323741,75.9993196585923
"43",2000-07-01,58.1287752904344,73.0270430249392
"44",2000-10-01,58.5507732504767,73.9999823458795
"45",2001-01-01,58.3682921653953,73.0647416698843
"46",2001-04-01,58.6847492323439,71.1552139895564
"47",2001-07-01,60.3748318411245,73.5023761771121
"48",2001-10-01,61.3181251891633,74.6129630542045
"49",2002-01-01,61.2682973140924,72.1887730442588
"50",2002-04-01,61.1103709275381,71.9600098491262
"51",2002-07-01,61.4630808275422,72.3910927596699
"52",2002-10-01,61.5670826196884,71.8841856292309
"53",2003-01-01,61.369679574558,68.8631520340968
"54",2003-04-01,62.9870245289726,71.5345150761077
"55",2003-07-01,63.3423296267333,68.8321348871808
"56",2003-10-01,63.8582148883952,68.2608941584622
"57",2004-01-01,64.265755090201,68.4902053361477
"58",2004-04-01,64.3577372401269,65.4327680348877
"59",2004-07-01,65.094341018735,64.1484890638411
"60",2004-10-01,65.8571553969044,63.7469643327384
"61",2005-01-01,67.1027237083467,64.3791602551285
"62",2005-04-01,67.9513835302456,64.8419414578939
"63",2005-07-01,67.8015604818955,62.2013901260411
"64",2005-10-01,67.9391957186295,60.6544960107143
"65",2006-01-01,69.2563008130081,60.3030487804878
"66",2006-04-01,70.3623627840581,58.488538393631
"67",2006-07-01,71.1608998655092,58.8467549450608
"68",2006-10-01,72.4072528789963,59.5280849029948
"69",2007-01-01,73.0634353534857,58.5843120425832
"70",2007-04-01,74.0768813125867,54.9813143626967
"71",2007-07-01,76.0876297520995,54.8341979259888
"72",2007-10-01,77.1233300176752,55.0744527294348
"73",2008-01-01,77.4208206701781,55.2284376190988
"74",2008-04-01,77.3915495443078,54.6141519737124
"75",2008-07-01,78.4290108302567,54.5822632120634
"76",2008-10-01,83.4877584149315,61.9323642850613
"77",2009-01-01,88.3857382843404,67.7340948554872
"78",2009-04-01,90.6431951684482,69.6243044828245
"79",2009-07-01,91.1727226574757,71.5125222906212
"80",2009-10-01,90.4637486566912,71.3685369164828
"81",2010-01-01,90.172879846621,70.6163262028963
"82",2010-04-01,91.0679635140693,72.6527303960707
"83",2010-07-01,91.8107786128264,74.6486670845913
"84",2010-10-01,91.0252311424656,73.6917207154897
"85",2011-01-01,90.7574547513395,71.9546914989597
"86",2011-04-01,90.7178558196939,74.5494507492675
"87",2011-07-01,90.8675804200817,76.7856382871491
"88",2011-10-01,90.5786947647156,76.9193468306946
"89",2012-01-01,91.3101062188726,76.9277513332452
"90",2012-04-01,92.3423185690473,80.607086153589
"91",2012-07-01,92.4057540658001,80.6276070174519
"92",2012-10-01,92.8542067954258,81.0214829854062
"93",2013-01-01,92.0625262408597,80.1243470421623
"94",2013-04-01,92.7363203066694,79.3888662731529
"95",2013-07-01,92.4700433166634,78.3088304500875
"96",2013-10-01,92.2111566562724,76.9129657487052
"97",2014-01-01,91.8357056857005,75.4753872261711
"98",2014-04-01,91.6774458309277,77.1642483117113
"99",2014-07-01,91.4107315949214,76.5795077147988
"100",2014-10-01,92.6840071024815,77.6596072184728
"101",2015-01-01,95.1678173663257,81.3456130625409
"102",2015-04-01,96.2472039175382,80.8666344235536
"103",2015-07-01,96.8917927455339,81.1565903529675
"104",2015-10-01,98.7791211439589,82.5485017673522
"105",2016-01-01,99.769918235406,83.1792115771459
"106",2016-04-01,100.893588498775,85.6183246826415
"107",2016-07-01,100.525591769758,85.5576244706252
