"","","Date","Year/Year","Month/Month"
"1","Consumer price index (CPI)","2025-03",2.31539424280349,0.306748466257667
"2","CPI without energy","2025-03",2.49360613810743,0.438596491228083
"3","Food","2025-03",3.19488817891374,1.73228346456693
"4","Shelter","2025-03",3.94663702056697,0.1606855918586
"5","Transportation","2025-03",1.2280701754386,-0.288018433179726
"6","Good","2025-03",1.31761442441054,0.343406593406592
"7","Services","2025-03",3.14106225014277,0.277623542476402
