"","Date","export"
"184",2015-04-01,42892200000
"185",2015-05-01,42493500000
"186",2015-06-01,44835400000
"187",2015-07-01,45566100000
"188",2015-08-01,44755300000
"189",2015-09-01,44345500000
"190",2015-10-01,43348800000
"191",2015-11-01,43055700000
"192",2015-12-01,44499700000
"193",2016-01-01,45518400000
"194",2016-02-01,43349700000
"195",2016-03-01,41507400000
"196",2016-04-01,41552400000
"197",2016-05-01,40944800000
"198",2016-06-01,41120500000
"199",2016-07-01,43174400000
"200",2016-08-01,44151300000
"201",2016-09-01,4.4001e+10
"202",2016-10-01,44407900000
"203",2016-11-01,46456400000
"204",2016-12-01,46116700000
"205",2017-01-01,46977100000
"206",2017-02-01,46110400000
"207",2017-03-01,46769300000
"208",2017-04-01,47390300000
"209",2017-05-01,47988400000
"210",2017-06-01,4.5712e+10
"211",2017-07-01,4.3807e+10
"212",2017-08-01,43560100000
"213",2017-09-01,43763800000
"214",2017-10-01,4.4638e+10
"215",2017-11-01,46728900000
"216",2017-12-01,47079400000
"217",2018-01-01,46068900000
"218",2018-02-01,46806100000
"219",2018-03-01,4.8208e+10
"220",2018-04-01,49008900000
"221",2018-05-01,49014300000
"222",2018-06-01,51684600000
"223",2018-07-01,51481600000
"224",2018-08-01,50585900000
"225",2018-09-01,50664200000
"226",2018-10-01,50226300000
"227",2018-11-01,47003300000
"228",2018-12-01,45412500000
"229",2019-01-01,47883200000
"230",2019-02-01,48221500000
"231",2019-03-01,50285300000
"232",2019-04-01,50781900000
"233",2019-05-01,52395200000
"234",2019-06-01,49835900000
"235",2019-07-01,49445400000
"236",2019-08-01,50262500000
"237",2019-09-01,49632700000
"238",2019-10-01,48968800000
"239",2019-11-01,48703400000
"240",2019-12-01,49183600000
"241",2020-01-01,47357300000
"242",2020-02-01,47826900000
"243",2020-03-01,4.3907e+10
"244",2020-04-01,31707400000
"245",2020-05-01,34162100000
"246",2020-06-01,41025100000
"247",2020-07-01,44665900000
"248",2020-08-01,45146600000
"249",2020-09-01,45691900000
"250",2020-10-01,46377900000
"251",2020-11-01,4.6993e+10
"252",2020-12-01,4.7533e+10
"253",2021-01-01,51345200000
"254",2021-02-01,50247600000
"255",2021-03-01,49835400000
